Summary Nr,Event Date,SIC,&nbsp;,Fat,Event Description,Report ID
,,,,,,
200632412,10/17/2011,1799,1,X,Employee Dies From Injuries Received In Fall,0316400
201764008,10/16/2011,1611,2,X,Employee Is Killed By Drunk Driver In Construction Zone,0626600
200626323,10/15/2011,1761,3,X,Employee Is Killed In Fall From Roof,0454716
200534600,10/15/2011,1741,4,X,Employee Is Killed In Wall Collapse,0751910
200632438,10/14/2011,1731,5,X,Employee Is Electrocuted In Contact With Overhead Power Line,0316400
202023834,10/14/2011,1761,6,X,Employee Is Killed In 40-Foot Fall From Roof,0316100
200626299,10/13/2011,1731,7,X,Employee Dies From Head Injury Received In Fall Down Steps,0454712
202494324,10/13/2011,1761,8,X,Employee Is Killed In Fall From Roof,0215000
201128618,10/12/2011,1771,9,X,Employee Is Killed By Overturned Concrete Mixer Truck,0950613
200776532,10/12/2011,1623,10,X,Employee Is Killed In Fall From Communication Tower,0134000
200515468,10/12/2011,1731,11,X,Employee Is Electrocuted,0552700
200556686,08/24/2011,3494,12,X,Employee Is Killed When Struck By Cable Chain,0625700
202626602,08/24/2011,7549,13,X,Employee Is Killed When Struck By Oncoming Vehicle,0352410
200604825,08/24/2011,4231,14,X,Employee Is Caught Between Trailer And Jifflox And Is Killed,0625500
200375640,08/24/2011,7992,15,X,"Employee Is Run Over By Golf Cart, Later Dies",0454510
200012961,08/23/2011,7011,16,X,Employee Falls Into Elevator Shaft And Is Killed,0729300
202568721,08/23/2011,1711,17,X,Employee Is Killed When Trench Collapses,0452110
201363744,08/23/2011,5812,18,X,Employee Falls Overboard From Barge And Drowns,0419400
200645109,08/23/2011,1799,19,X,Employee Dies Of Heat Stroke,0627700
202602017,08/22/2011,4789,20,X,Employee Is Struck By Truck In Work Zone And Is Killed,0551701
202126744,08/22/2011,4731,21,X,Employee Is Killed When Run Over By Industrial Truck,0627500
202561312,08/22/2011,7389,22,X,Employee Dies In Fall From Ladder,0950411
200534485,08/22/2011,1623,23,X,Employee Is Killed When Excavator Tips Over,0751910
200714228,08/22/2011,9999,24,X,Employee Is Killed In Structure Fire,0636900
200534501,08/22/2011,4911,25,X,Employee Is Killed In Fall From Wind Tower,0751910
202586970,08/22/2011,1761,26,X,Employee Is Killed In Fall From Roof,0950614
201354255,08/22/2011,1481,27,X,Employee Is Electrocuted While Boring And Using Auger,0419700
202553400,08/22/2011,8641,28,X,Employee Is Killed By Possible Exposure To Carbon Monoxide,0950631
202553392,08/22/2011,0782,29,X,Employee Dies Of Natural Causes While Working As Laborer,0950631
200203727,08/20/2011,9711,30,X,Employee Is Crushed When Run Over By Truck,0418200
202005617,08/20/2011,4491,31,X,Employee Is Killed In Fall In Hold Of Ship,0317000
202553350,08/20/2011,4512,32,X,Employee Dies Of Heart Attack,0950631
200212991,08/19/2011,1623,33,X,Employee Is Killed While Operating Trenching Machine,0626000
201354230,08/19/2011,7532,34,X,Employee Dies Of Possible Heart Attack While Painting,0419700
202508560,08/19/2011,1742,35,X,Employee Dies Of Heart Attack,0950622
202553343,08/19/2011,5651,36,X,Employee Is Crushed And Killed By Machine,0950631
202368916,08/19/2011,4213,37,X,Employee Is Killed In Motor Vehicle Accident,1055350
202553335,08/18/2011,1542,38,X,Employee Dies Of Heart Attack,0950631
201682176,08/17/2011,1629,39,X,Employee Drowns After Dozer Slips Into Water,1050210
201763943,08/17/2011,1611,40,X,Employee Is Killed After Hit By Vehicle,0626600
202081121,08/17/2011,1799,41,X,Employee Is Killed In Fall From Ladder,0453730
202023826,08/16/2011,1791,42,X,Employee Is Killed When Struck Head Against A Steel Pole,0316100
200515401,08/15/2011,"1761,4931",43,X,Employee Is Killed After Contacting Energized Power Line,0552700
200645091,08/15/2011,1611,44,X,Employee Is Killed When Struck By Truck,0627700
202561262,08/15/2011,1761,45,X,Employee Is Killed In Fall From Roof,0950411
200999100,08/12/2011,1629,46,X,Employee Suffers Heart Attack In Trench,0551800
202530655,07/25/2011,4953,47,X,Employee Is Crushed Bewteen A Trailer And A Dock,0950635
200813251,07/25/2011,1389,48,X,Employee Is Killed When Struck By Counterweight Cable,0627510
200926087,07/25/2011,3714,49,X,Employee Found Unconscious With Head Injury,0355116
200264273,07/25/2011,2421,50,X,Employee Is Overcome By Heat Exhaustion,0627100
202521472,07/25/2011,0241,51,X,Employee Head Is Crushed Between Dumpster Ad Trailer,0950624
200264281,07/25/2011,3743,52,X,Employee Is Electrocuted When Contacted By Metal Torch,0627100
200203685,07/24/2011,2541,53,X,Employee Struck On Head By Hydraulic Ram Assembly,0418200
201781408,07/24/2011,0851,54,X,Employee Is Struck In Head By Hydraulic Ram Assembly,0936400
200359347,07/05/2011,9221,55,X,Employee Is Killed While Repelling Down Training Tower,0453710
201392404,07/05/2011,7999,56,X,Employee Is Killed By Fall After Contact With Power Line,0552652
200264224,07/05/2011,7342,57,X,Employee Dies From Cerebral Aneurysm While Spraying Termites,0627100
202567632,07/03/2011,7941,58,X,Employee Fractures Pelvis On Freight Elevator And Dies,0420600
200785244,07/02/2011,3273,59,X,Employee Is Killed By Fall In Silo Area Of Plant,0626300
202567582,07/02/2011,7999,60,X,"Employee Struck, Killed By Counterweight On Amusement Ride",0420600
202064333,07/02/2011,3731,61,X,One Employee Dies And One Is Burned In Painting Flash Fire,0420100
202601985,07/01/2011,7999,62,X,Employee Falls And Later Dies,0551701
200714186,07/01/2011,4212,63,X,Employee Is Killed When Run Over By Landfill Compactor,0636900
200515344,06/30/2011,"0783,2411,1799",64,X,Employee Falls From Tree And Dies,0552700
200083954,06/30/2011,0782,65,X,Employee Is Killed Run Over By Loader,0112000
200999423,06/30/2011,3694,66,X,Employee Was Struck And Killed,0551800
200626232,06/30/2011,5063,67,X,"Employee Falls From Dock, Later Dies",0454716
202574240,06/29/2011,7513,68,X,Employee Is Killed Crushed Under Falling Trailer,0352440
200678456,06/29/2011,0782,69,X,Employee Is Killed Crushed By Skid Steer,0418800
202613782,06/28/2011,4213,70,X,Employee Is Killed In Truck Accident,1054112
202508511,06/28/2011,3911,71,X,Employee Dies Of A Heart Attack,0950622
201363728,06/28/2011,2046,72,X,Employee Is Killed In Flash Fire,0419400
202633715,06/28/2011,9511,73,X,Employee Is Struck And Killed By Flatbed Truck,0950633
200645083,06/27/2011,1761,74,X,Employee Dies In Fall From Roof,0627700
200359651,06/27/2011,0783,75,X,Employee Is Killed When Struck By Tree,0453710
